year,country,grouping,imports_total,exports_total,imports_intra,exports_intra,imports_USA,exports_USA,imports_CAN,exports_CAN,imports_MEX,exports_MEX
1989,CAN,01_05,1206537892,3403820902,702420756,2103336736,700138358,2037914097,-5,-5,2282398,65422639
1989,CAN,06_15,2854230373,4250413874,1963824479,881031643,1877307433,818559563,-10,-10,86517046,62472080
1989,CAN,16_24,2657444688,1661791607,1274450831,1196757739,1254987369,1195592591,-9,-9,19463462,1165148
1989,CAN,25_26,1027089376,3508945752,627275866,880451720,608010689,842544321,-2,-2,19265177,37907399
1989,CAN,2709,3046234582,3716305341,233180756,3673042326,191461149,3673042326,-1,-1,41719607,0
1989,CAN,28_38,5682197442,5291673831,4076502583,3369656159,4064808696,3362986324,-11,-11,11693887,6669835
1989,CAN,39_40,4294196186,2645842983,3509205230,2107691821,3502193135,2096077222,-2,-2,7012095,11614599
1989,CAN,41_43,852601146,453389045,233668244,228551776,231925123,228203395,-3,-3,1743121,348381
1989,CAN,44_49,4237059080,19087709476,3617549368,12936652177,3612048867,12904598112,-6,-6,5500501,32054065
1989,CAN,50_63,4045928364,870979626,1411856129,542892171,1371339701,535150536,-14,-14,40516428,7741635
1989,CAN,64_67,644474055,78721853,76171281,71543959,72113950,70992882,-4,-4,4057331,551077
1989,CAN,68_71,2685322679,3039037380,1889304122,1635676642,1702245131,1632341139,-4,-4,187058991,3335503
1989,CAN,72_83,6937206535,10450541142,5119084359,7214601843,5084527173,7131275759,-12,-12,34557186,83326084
1989,CAN,84_85,31010393411,14521735282,23291468167,11821137360,22614844529,11726014109,-2,-2,676623638,95123251
1989,CAN,86,202093178,575624513,189547424,510210630,189413186,509899750,-1,-1,134238,310880
1989,CAN,87,23055326676,27100849053,19148484958,26580481409,18895649657,26517705356,-1,-1,252835301,62776053
1989,CAN,88_89,2389982280,2013406438,1717877376,1466902242,1717868333,1432775605,-2,-2,9043,34126637
1989,CAN,90_97,5961345547,2688108020,3904186872,2119627598,3868123041,2114695412,-8,-8,36063831,4932186
1989,CAN,all,214538326647,229666795144,151933844468,171725687834,149065566162,170676198698,-2,-2,2868278306,1049489136
1989,MEX,01_05,202836705,114264302,65422639,2282398,0,0,65422639,2282398,-5,-5
1989,MEX,06_15,98346136,251681847,62472080,86517046,0,0,62472080,86517046,-10,-10
1989,MEX,16_24,67309566,68972380,1165148,19463462,0,0,1165148,19463462,-9,-9
1989,MEX,25_26,61498102,237713819,37907399,19265177,0,0,37907399,19265177,-2,-2
1989,MEX,2709,0,2033556883,0,41719607,0,0,0,41719607,-1,-1
1989,MEX,28_38,271105264,375209422,6669835,11693887,0,0,6669835,11693887,-11,-11
1989,MEX,39_40,133754942,77869526,11614599,7012095,0,0,11614599,7012095,-2,-2
1989,MEX,41_43,11327325,7076075,348381,1743121,0,0,348381,1743121,-3,-3
1989,MEX,44_49,99885413,23147038,32054065,5500501,0,0,32054065,5500501,-6,-6
1989,MEX,50_63,184743913,152883606,7741635,40516428,0,0,7741635,40516428,-14,-14
1989,MEX,64_67,29310467,7047848,551077,4057331,0,0,551077,4057331,-4,-4
1989,MEX,68_71,47625280,328792344,3335503,187058991,0,0,3335503,187058991,-4,-4
1989,MEX,72_83,442736771,245348420,83326084,34557186,0,0,83326084,34557186,-12,-12
1989,MEX,84_85,1922645605,894827963,95123251,676623638,0,0,95123251,676623638,-2,-2
1989,MEX,86,919099,134238,310880,134238,0,0,310880,134238,-1,-1
1989,MEX,87,414433400,271690644,62776053,252835301,0,0,62776053,252835301,-1,-1
1989,MEX,88_89,57829140,695235,34126637,9043,0,0,34126637,9043,-2,-2
1989,MEX,90_97,204252104,70031241,4932186,36063831,0,0,4932186,36063831,-8,-8
1989,MEX,all,8636528140,10347483585,1049489136,2868278306,0,0,1049489136,2868278306,-2,-2
1989,USA,01_05,4699027916,5185575728,2037914097,700138358,-5,-5,2037914097,700138358,0,0
1989,USA,06_15,2257618438,11096746587,818559563,1877307433,-10,-10,818559563,1877307433,0,0
1989,USA,16_24,4247374249,5457315767,1195592591,1254987369,-9,-9,1195592591,1254987369,0,0
1989,USA,25_26,1457306186,1956390170,842544321,608010689,-2,-2,842544321,608010689,0,0
1989,USA,2709,5519449647,194908139,3673042326,191461149,-1,-1,3673042326,191461149,0,0
1989,USA,28_38,8348506025,16621176308,3362986324,4064808696,-11,-11,3362986324,4064808696,0,0
1989,USA,39_40,6372495572,7088495841,2096077222,3502193135,-2,-2,2096077222,3502193135,0,0
1989,USA,41_43,2393465793,1955587319,228203395,231925123,-3,-3,228203395,231925123,0,0
1989,USA,44_49,15094279684,12176031074,12904598112,3612048867,-6,-6,12904598112,3612048867,0,0
1989,USA,50_63,9769476486,4185921297,535150536,1371339701,-14,-14,535150536,1371339701,0,0
1989,USA,64_67,4411348069,173298056,70992882,72113950,-4,-4,70992882,72113950,0,0
1989,USA,68_71,5517319255,3902178506,1632341139,1702245131,-4,-4,1632341139,1702245131,0,0
